rule,cohort,year,row_type,county,base_year,weight,y_t,y_base,ctrl_change,delta_pooled,delta_sf_only,delta_slo_only,flags,n
type-matched,2018,2018,component,madera-ca,2014,0.2000,72.26,80.49,-9.71,1.48,2.77,0.19,,5
type-matched,2018,2018,component,napa-ca,2014,0.2000,38.11,50.34,-9.71,-2.52,-1.23,-3.81,,5
type-matched,2018,2018,component,nevada-ca,2014,0.2000,49.01,56.44,-9.71,2.28,3.57,0.99,,5
type-matched,2018,2018,component,sacramento-ca,2014,0.2000,35.52,59.04,-9.71,-13.81,-12.52,-15.10,,5
type-matched,2018,2018,component,san-mateo-ca,2014,0.2000,38.49,68.46,-9.71,-20.26,-18.97,-21.55,,5
type-matched,2018,2018,cell_mean,madera-ca+napa-ca+nevada-ca+sacramento-ca+san-mateo-ca,,,,,,-6.57,-5.28,-7.86,,5
type-matched,2018,2022,component,madera-ca,2014,0.2000,58.78,80.49,-21.70,-0.01,-2.41,2.38,,5
type-matched,2018,2022,component,napa-ca,2014,0.2000,43.21,50.34,-21.70,14.56,12.17,16.96,,5
type-matched,2018,2022,component,nevada-ca,2014,0.2000,56.11,56.44,-21.70,21.37,18.97,23.76,,5
type-matched,2018,2022,component,sacramento-ca,2014,0.2000,29.94,59.04,-21.70,-7.40,-9.80,-5.01,,5
type-matched,2018,2022,component,san-mateo-ca,2014,0.2000,48.42,68.46,-21.70,1.66,-0.74,4.05,,5
type-matched,2018,2022,cell_mean,madera-ca+napa-ca+nevada-ca+sacramento-ca+san-mateo-ca,,,,,,6.03,3.64,8.43,,5
type-matched,2018,2024,component,madera-ca,2016,0.2500,67.10,80.00,-11.90,-1.00,-3.70,1.71,,4
type-matched,2018,2024,component,napa-ca,2016,0.2500,39.26,53.92,-11.90,-2.76,-5.46,-0.05,,4
type-matched,2018,2024,component,sacramento-ca,2016,0.2500,46.65,57.10,-11.90,1.45,-1.25,4.16,,4
type-matched,2018,2024,component,san-mateo-ca,2016,0.2500,63.28,63.67,-11.90,11.51,8.81,14.22,,4
type-matched,2018,2024,cell_mean,madera-ca+napa-ca+sacramento-ca+san-mateo-ca,,,,,,2.30,-0.40,5.01,,4
type-matched,2020,2022,component,fresno-ca,2018,0.2500,57.10,61.09,-11.98,7.99,4.31,11.68,,4
type-matched,2020,2022,component,los-angeles-ca,2018,0.2500,53.65,65.35,-11.98,0.29,-3.40,3.97,,4
