statistic,rule,n,counties,est_pooled,est_sf_only,est_slo_only,ri_p,ri_p_mc_se,holm_p,redraw_rate,null_sd,mde_alpha10_power80,mde_alpha05_power80,ci90_lo,ci90_hi,loo_min,loo_max,loo_sign_flip_drops
theta_2024,type-matched,13,fresno-ca+los-angeles-ca+madera-ca+napa-ca+orange-ca+placer-ca+riverside-ca+sacramento-ca+san-bernardino-ca+san-diego-ca+san-mateo-ca+santa-clara-ca+ventura-ca,10.01,7.16,12.87,0.1163,0.0032,,0.3464,6.02,14.99,16.85,0.00,19.50,7.16,12.87,none
theta_2022,type-matched,12,fresno-ca+los-angeles-ca+madera-ca+napa-ca+nevada-ca+orange-ca+riverside-ca+sacramento-ca+san-diego-ca+san-mateo-ca+santa-clara-ca+ventura-ca,7.67,4.52,10.81,0.2917,0.0045,0.8750,0.2430,6.69,16.65,18.73,,,4.52,10.81,none
theta_step_2018,type-matched,5,madera-ca+napa-ca+nevada-ca+sacramento-ca+san-mateo-ca,-6.57,-5.28,-7.86,0.3812,0.0049,0.8750,0.2390,7.01,17.45,19.62,,,-8.78,-3.14,none
theta_step_2022,type-matched,3,riverside-ca+san-diego-ca+ventura-ca,7.44,3.76,11.13,0.4090,0.0049,0.8750,0.2414,8.52,21.22,23.87,,,0.91,11.23,none
theta_2024,calendar,13,fresno-ca+los-angeles-ca+madera-ca+napa-ca+orange-ca+placer-ca+riverside-ca+sacramento-ca+san-bernardino-ca+san-diego-ca+san-mateo-ca+santa-clara-ca+ventura-ca,11.12,8.08,14.16,,,,,,,,,,,,
theta_2022,calendar,12,fresno-ca+los-angeles-ca+madera-ca+napa-ca+nevada-ca+orange-ca+riverside-ca+sacramento-ca+san-diego-ca+san-mateo-ca+santa-clara-ca+ventura-ca,5.95,2.68,9.21,,,,,,,,,,,,
theta_step_2018,calendar,5,madera-ca+napa-ca+nevada-ca+sacramento-ca+san-mateo-ca,-10.69,-9.69,-11.70,,,,,,,,,,,,
theta_step_2022,calendar,3,riverside-ca+san-diego-ca+ventura-ca,7.44,3.76,11.13,,,,,,,,,,,,
