check,name,variant,statistic,value,n,note
1,control_triptych,pooled,theta_2024,10.01,13,
1,control_triptych,pooled,theta_2022,7.67,12,
1,control_triptych,pooled,theta_step_2018,-6.57,5,
1,control_triptych,pooled,theta_step_2022,7.44,3,
1,control_triptych,sf,theta_2024,7.16,13,
1,control_triptych,sf,theta_2022,4.52,12,
1,control_triptych,sf,theta_step_2018,-5.28,5,
1,control_triptych,sf,theta_step_2022,3.76,3,
1,control_triptych,slo,theta_2024,12.87,13,
1,control_triptych,slo,theta_2022,10.81,12,
1,control_triptych,slo,theta_step_2018,-7.86,5,
1,control_triptych,slo,theta_step_2022,11.13,3,
2,base_rule,type,theta_2024,10.01,13,
2,base_rule,type,theta_2022,7.67,12,
2,base_rule,type,theta_step_2018,-6.57,5,
2,base_rule,type,theta_step_2022,7.44,3,
2,base_rule,calendar,theta_2024,11.12,13,
2,base_rule,calendar,theta_2022,5.95,12,
2,base_rule,calendar,theta_step_2018,-10.69,5,
2,base_rule,calendar,theta_step_2022,7.44,3,
2,base_rule,flip_check,theta_2024_sign_flip,,,False
3,tier1_only,drop_11_tier2_rows,theta_2024,10.15,13,
3,tier1_only,drop_11_tier2_rows,theta_2022,5.94,12,
3,tier1_only,drop_11_tier2_rows,theta_step_2018,-8.58,4,
3,tier1_only,drop_11_tier2_rows,theta_step_2022,1.29,3,
4,excluded_2024_bounds,nevada_2024_included,theta_2024,7.53,14,
4,excluded_2024_bounds,riverside_2024_included,theta_2024,10.52,13,
4,excluded_2024_bounds,both_included,theta_2024,8.00,14,
5,leave_one_out,min,theta_2024,7.16,,drop san-luis-obispo-ca
5,leave_one_out,max,theta_2024,12.87,,drop san-francisco-ca
5,leave_one_out,sign_flips,theta_2024,,,none
5,leave_one_out,min,theta_2022,4.52,,drop san-luis-obispo-ca
5,leave_one_out,max,theta_2022,10.81,,drop san-francisco-ca
5,leave_one_out,sign_flips,theta_2022,,,none
5,leave_one_out,min,theta_step_2018,-8.78,,drop nevada-ca
5,leave_one_out,max,theta_step_2018,-3.14,,drop san-mateo-ca
5,leave_one_out,sign_flips,theta_step_2018,,,none
5,leave_one_out,min,theta_step_2022,0.91,,drop san-diego-ca
5,leave_one_out,max,theta_step_2022,11.23,,drop riverside-ca
5,leave_one_out,sign_flips,theta_step_2022,,,none
6,not_yet_treated_att2018,type,theta_step_2018,-0.98,5,never-treated version -6.57; comparators dropped: none
6,not_yet_treated_att2018,calendar,theta_step_2018,-10.47,5,"never-treated version -10.69; comparators dropped: san-diego-ca (for madera-ca, base 2016); san-diego-ca (for napa-ca, base 2016); san-diego-ca (for nevada-ca, base 2016); san-diego-ca (for sacramento-ca, base 2016); san-diego-ca (for san-mateo-ca, base 2016)"
