county,cohort,year,base_year,event_time_years,delta_pre,tier1_cell
madera-ca,2018,2012,2016,-6,-5.77,no
madera-ca,2018,2014,2016,-4,-3.43,yes
napa-ca,2018,2012,2016,-6,-4.46,yes
napa-ca,2018,2014,2016,-4,-7.50,yes
nevada-ca,2018,2012,2016,-6,-8.47,yes
nevada-ca,2018,2014,2016,-4,-8.62,yes
sacramento-ca,2018,2012,2016,-6,-1.44,no
sacramento-ca,2018,2014,2016,-4,-1.98,yes
san-mateo-ca,2018,2012,2016,-6,-0.15,yes
san-mateo-ca,2018,2014,2016,-4,0.87,yes
fresno-ca,2020,2012,2018,-8,-12.82,no
fresno-ca,2020,2014,2018,-6,2.21,no
fresno-ca,2020,2016,2018,-4,-6.18,no
los-angeles-ca,2020,2012,2018,-8,-5.24,yes
los-angeles-ca,2020,2014,2018,-6,0.47,yes
los-angeles-ca,2020,2016,2018,-4,-6.07,yes
orange-ca,2020,2012,2018,-8,4.27,yes
orange-ca,2020,2014,2018,-6,4.01,yes
orange-ca,2020,2016,2018,-4,2.01,yes
san-bernardino-ca,2020,2014,2016,-6,9.02,yes
santa-clara-ca,2020,2012,2018,-8,5.38,yes
santa-clara-ca,2020,2014,2018,-6,-0.21,yes
santa-clara-ca,2020,2016,2018,-4,6.72,yes
riverside-ca,2022,2012,2018,-10,13.49,no
riverside-ca,2022,2014,2018,-8,18.46,no
riverside-ca,2022,2016,2018,-6,10.66,no
san-diego-ca,2022,2012,2018,-10,1.74,no
san-diego-ca,2022,2014,2018,-8,18.11,yes
ventura-ca,2022,2012,2018,-10,0.57,yes
ventura-ca,2022,2014,2018,-8,1.46,yes
ventura-ca,2022,2016,2018,-6,1.17,yes
placer-ca,2024,2012,2022,-12,13.46,no
placer-ca,2024,2014,2022,-10,9.05,yes
placer-ca,2024,2016,2022,-8,4.42,yes
