election_date,meeting_date,days_since_election,statement,derived_estimate,source_page
2002-03-05,2002-03-06,1,"There are approximately 15,000 to 16,000 absentee ballots and 6,200 provisional ballots [remaining].","~128,000 counted = ~85% of certified 150,249",archive0088-dept=305&sub=314&year=2002&dtype=319
2003-10-07,2003-10-15,8,"Voter Services - 15,000 Provisional Ballots are currently being processed. Ballot Distribution - 73,000 absentee ballots were mailed.",partial: provisionals still out at day 8; no absentee-remaining figure,archive6bed-dept=305&sub=314&year=2003&dtype=319
2006-11-07,2006-11-15,8,"Ninety-nine percent of the election results were reported at 10:30 pm on election night. There remains approximately 36,000 absentee and 8,000 provisional ballots to be counted.","~209,700 counted = ~83% of certified 253,719",archive4589-dept=305&sub=314&year=2006&dtype=319
2009-11-03,2009-11-18,15,"The Department of Elections sent out 184,346 vote-by-mail ballots, 71,000 were delivered to the Department and of those 69,335 were accepted. 1,743 provisional ballots were received and 1,602 were accepted.","near-final canvass: 69,335 VBM accepted",archive66a0-dept=305&sub=314&year=2009&dtype=319
