election,snapshot,filename,status,last_modified
20151103,20151103_1,summary.txt,downloaded,2023-12-19T17:03:31
20151103,20151103_2,summary.txt,downloaded,2023-12-19T17:03:31
20151103,20151103_3,summary.txt,downloaded,2023-12-19T17:03:38
20151103,20151104,summary.txt,downloaded,2023-12-19T17:03:45
20151103,20151105,summary.txt,downloaded,2023-12-19T17:03:52
20151103,20151106,summary.txt,downloaded,2023-12-19T17:04:00
20151103,20151107,summary.txt,downloaded,2023-12-19T17:04:09
20151103,20151108,summary.txt,downloaded,2023-12-19T17:04:17
20151103,20151109,summary.txt,downloaded,2023-12-19T17:04:24
20151103,20151110,summary.txt,downloaded,2023-12-19T17:04:37
20151103,20151111,summary.txt,downloaded,2023-12-19T17:04:46
20151103,20151112,summary.txt,downloaded,2023-12-19T17:04:56
20151103,20151113,summary.txt,downloaded,2023-12-19T17:05:03
20151103,20151116,summary.txt,downloaded,2023-12-19T17:05:14
20151103,20151119,summary.txt,downloaded,2023-12-19T17:05:28
20160607,20160607_1,summary.txt,downloaded,2023-12-22T12:53:47
20160607,20160607_2,summary.txt,downloaded,2023-12-22T12:53:47
20160607,20160607_3,summary.txt,downloaded,2023-12-22T12:53:47
20160607,20160607_4,summary.txt,downloaded,2023-12-22T12:53:50
20160607,20160608,summary.txt,downloaded,2023-12-22T12:53:53
20160607,20160609,summary.txt,downloaded,2023-12-22T12:53:55
20160607,20160610,summary.txt,downloaded,2023-12-22T12:53:58
20160607,20160611,summary.txt,downloaded,2023-12-22T12:54:00
20160607,20160612,summary.txt,downloaded,2023-12-22T12:54:03
20160607,20160613,summary.txt,downloaded,2023-12-22T12:54:06
20160607,20160614,summary.txt,downloaded,2023-12-22T12:54:09
20160607,20160615,summary.txt,downloaded,2023-12-22T12:54:11
20160607,20160616,summary.txt,downloaded,2023-12-22T12:54:14
20160607,20160617,summary.txt,downloaded,2023-12-22T12:54:17
20160607,20160620,summary.txt,downloaded,2023-12-22T12:54:20
20160607,20160621,summary.txt,downloaded,2023-12-22T12:54:23
20160607,20160624,summary.txt,downloaded,2023-12-22T12:54:27
20161108,20161108_1,summary.txt,downloaded,2016-11-08T20:02:17
20161108,20161108_2,summary.txt,downloaded,2016-11-08T21:44:48
20161108,20161108_3,summary.txt,downloaded,2016-11-08T22:47:05
20161108,20161108_4,summary.txt,downloaded,2016-11-09T00:01:46
20161108,20161109,summary.txt,downloaded,2016-11-09T15:59:55
20161108,20161110,summary.txt,downloaded,2016-11-10T16:01:57
20161108,20161111,summary.txt,downloaded,2016-11-11T15:40:19
20161108,20161112,summary.txt,downloaded,2016-11-12T16:12:41
20161108,20161113,summary.txt,downloaded,2016-11-13T16:09:41
20161108,20161114,summary.txt,downloaded,2016-11-14T15:58:30
20161108,20161115,summary.txt,downloaded,2016-11-15T16:06:42
20161108,20161116,summary.txt,downloaded,2016-11-16T15:57:09
20161108,20161117,summary.txt,downloaded,2016-11-17T16:29:02
20161108,20161118,summary.txt,downloaded,2016-11-18T16:14:28
20161108,20161119,summary.txt,downloaded,2016-11-19T15:57:07
20161108,20161120,summary.txt,downloaded,2016-11-20T15:54:24
20161108,20161121,summary.txt,downloaded,2016-11-21T16:00:43
20161108,20161122,summary.txt,downloaded,2016-11-22T17:37:38
20161108,20161123,summary.txt,downloaded,2016-11-23T15:55:07
20161108,20161128,summary.txt,downloaded,2016-11-28T16:56:09
20161108,20161201,summary.txt,downloaded,2016-12-01T16:00:47
20161108,20161206,summary.txt,downloaded,2016-12-06T14:23:57
20180605,20180605_1,summary.txt,downloaded,2018-06-05T20:52:50
20180605,20180605_2,summary.txt,downloaded,2018-06-05T22:06:36
20180605,20180605_3,summary.txt,downloaded,2018-06-05T22:59:03
20180605,20180605_4,summary.txt,downloaded,2018-06-06T00:10:36
20180605,20180606,summary.txt,downloaded,2018-06-06T15:58:04
20180605,20180607,summary.txt,downloaded,2018-06-07T16:03:59
20180605,20180608,summary.txt,downloaded,2018-06-08T16:05:02
20180605,20180609,summary.txt,downloaded,2018-06-09T16:01:22
20180605,20180610,summary.txt,downloaded,2018-06-10T15:57:20
20180605,20180611,summary.txt,downloaded,2018-06-11T15:49:19
20180605,20180612,summary.txt,downloaded,2018-06-12T15:43:23
20180605,20180613,summary.txt,downloaded,2018-06-13T15:48:11
20180605,20180614,summary.txt,downloaded,2018-06-14T15:56:00
20180605,20180615,summary.txt,downloaded,2018-06-15T16:06:39
20180605,20180618,summary.txt,downloaded,2018-06-18T16:30:27
20180605,20180621,summary.txt,downloaded,2018-06-21T16:08:39
20180605,20180627,summary.txt,downloaded,2018-06-27T15:54:03
20181106,20181106_1,summary.txt,downloaded,2018-11-06T20:51:44
20181106,20181106_2,summary.txt,downloaded,2018-11-06T21:40:47
20181106,20181106_3,summary.txt,downloaded,2018-11-06T22:36:41
20181106,20181106_4,summary.txt,downloaded,2018-11-07T01:00:13
20181106,20181107,summary.txt,downloaded,2018-11-07T15:56:53
20181106,20181108,summary.txt,downloaded,2018-11-08T15:59:15
20181106,20181109,summary.txt,downloaded,2018-11-09T15:55:11
20181106,20181110,summary.txt,downloaded,2018-11-10T15:44:19
20181106,20181111,summary.txt,downloaded,2018-11-11T15:49:50
20181106,20181112,summary.txt,downloaded,2018-11-12T16:07:49
20181106,20181113,summary.txt,downloaded,2018-11-13T15:49:34
20181106,20181114,summary.txt,downloaded,2018-11-14T15:38:03
20181106,20181115,summary.txt,downloaded,2018-11-15T15:51:31
20181106,20181116,summary.txt,downloaded,2018-11-16T16:27:52
20181106,20181117,summary.txt,downloaded,2018-11-17T16:00:11
20181106,20181119,summary.txt,downloaded,2018-11-19T16:06:48
20181106,20181120,summary.txt,downloaded,2018-11-20T16:01:32
20181106,20181126,summary.txt,downloaded,2018-11-26T15:54:53
20181106,20181127,summary.txt,downloaded,2018-11-27T15:46:48
20191105,20191105_1,summary.xml,downloaded,2019-11-05T20:48:33
20191105,20191105_2,summary.xml,downloaded,2019-11-05T21:43:23
20191105,20191105_3,summary.xml,downloaded,2019-11-05T22:58:35
20191105,20191105_4,summary.xml,downloaded,2019-11-06T00:32:09
20191105,20191106,summary.xml,downloaded,2019-11-06T16:04:30
20191105,20191107,summary.xml,downloaded,2019-11-07T16:03:52
20191105,20191108,summary.xml,downloaded,2019-11-08T16:34:10
20191105,20191109,summary.xml,downloaded,2019-11-09T15:55:43
20191105,20191110,summary.xml,downloaded,2019-11-10T15:57:24
20191105,20191112,summary.xml,downloaded,2019-11-12T16:00:44
20191105,20191113,summary.xml,downloaded,2019-11-13T16:06:40
20191105,20191114,summary.xml,downloaded,2019-11-14T16:08:14
20191105,20191125,summary.xml,downloaded,2019-11-26T15:39:22
20200303,20200303_1,summary.xml,downloaded,2020-03-03T20:37:27
20200303,20200303_2,summary.xml,downloaded,2020-03-03T21:42:53
20200303,20200303_3,summary.xml,downloaded,2020-03-03T22:49:29
20200303,20200303_4,summary.xml,downloaded,2020-03-04T00:53:02
20200303,20200304,summary.xml,downloaded,2020-03-04T16:11:41
20200303,20200305,summary.xml,downloaded,2020-03-05T17:29:39
20200303,20200306,summary.xml,downloaded,2020-03-06T16:04:41
20200303,20200307,summary.xml,downloaded,2020-03-07T15:58:08
20200303,20200309,summary.xml,downloaded,2020-03-09T16:07:31
20200303,20200310,summary.xml,downloaded,2020-03-10T16:09:02
20200303,20200311,summary.xml,downloaded,2020-03-11T15:50:56
20200303,20200312,summary.xml,downloaded,2020-03-12T16:20:50
20200303,20200313,summary.xml,downloaded,2020-03-13T16:20:49
20200303,20200326,summary.xml,downloaded,2020-03-31T11:33:46
20201103,20201103_1,summary.xml,downloaded,2020-11-03T21:03:48
20201103,20201103_2,summary.xml,downloaded,2020-11-03T21:57:03
20201103,20201103_3,summary.xml,downloaded,2020-11-03T22:32:21
20201103,20201103_4,summary.xml,downloaded,2020-11-04T00:44:46
20201103,20201104,summary.xml,downloaded,2020-11-04T16:10:43
20201103,20201105,summary.xml,downloaded,2020-11-05T15:59:19
20201103,20201106,summary.xml,downloaded,2020-11-06T16:15:56
20201103,20201107,summary.xml,downloaded,2020-11-07T16:21:21
20201103,20201108,summary.xml,downloaded,2020-11-08T15:58:54
20201103,20201109,summary.xml,downloaded,2020-11-09T16:04:13
20201103,20201110,summary.xml,downloaded,2020-11-10T16:10:20
20201103,20201112,summary.xml,downloaded,2020-11-12T15:49:42
20201103,20201113,summary.xml,downloaded,2020-11-13T16:01:51
20201103,20201117,summary.xml,downloaded,2020-11-17T16:12:04
20201103,20201119,summary.xml,downloaded,2020-11-19T15:51:14
20201103,20201124,summary.xml,downloaded,2020-11-24T16:01:54
20201103,20201201,summary.xml,downloaded,2020-12-01T16:45:18
20210914,20210914_1,summary.xml,cached,2021-09-14T20:46:28
20210914,20210914_2,summary.xml,cached,2021-09-14T21:41:00
20210914,20210914_3,summary.xml,cached,2021-09-14T22:34:45
20210914,20210914_4,summary.xml,cached,2021-09-14T23:27:42
20210914,20210915,summary.xml,cached,2021-09-15T15:53:13
20210914,20210916,summary.xml,cached,2021-09-16T15:52:40
20210914,20210917,summary.xml,cached,2021-09-17T16:02:39
20210914,20210918,summary.xml,cached,2021-09-18T15:27:48
20210914,20210920,summary.xml,cached,2021-09-20T15:55:43
20210914,20210921,summary.xml,cached,2021-09-21T16:13:14
20210914,20210922,summary.xml,cached,2021-09-22T16:02:19
20210914,20211001,summary.xml,cached,2021-10-01T16:00:39
20210914,20211005,summary.xml,cached,2021-10-05T15:38:45
20220215,20220215_1,summary.xml,downloaded,2022-02-15T20:35:07
20220215,20220215_2,summary.xml,downloaded,2022-02-15T21:43:44
20220215,20220215_3,summary.xml,downloaded,2022-02-15T22:37:11
20220215,20220217,summary.xml,downloaded,2022-02-17T16:01:11
20220215,20220218,summary.xml,downloaded,2022-02-18T15:48:46
20220215,20220219,summary.xml,downloaded,2022-02-19T15:08:44
20220215,20220222,summary.xml,downloaded,2022-02-22T15:46:53
20220215,20220223,summary.xml,downloaded,2022-02-23T15:58:17
20220419,20220419_1,summary.xml,downloaded,2022-04-19T20:36:52
20220419,20220419_2,summary.xml,downloaded,2022-04-19T21:43:13
20220419,20220419_3,summary.xml,downloaded,2022-04-19T22:02:44
20220419,20220421,summary.xml,downloaded,2022-04-21T15:55:26
20220419,20220422,summary.xml,downloaded,2022-04-22T15:55:09
20220419,20220427,summary.xml,downloaded,2022-04-27T16:02:43
20220419,20220428,summary.xml,downloaded,2022-04-28T15:55:59
20220607,20220607_1,summary.xml,downloaded,2022-06-07T20:45:38
20220607,20220607_2,summary.xml,downloaded,2022-06-07T21:37:20
20220607,20220607_3,summary.xml,downloaded,2022-06-07T22:37:26
