election_date,election_name,report_seq,snapshot,report_datetime,ballots_counted_total,ballots_vbm,ballots_election_day,registered_voters,parser,datetime_source,source_url
2021-09-14,California Gubernatorial Recall Election,11,20210922,2021-09-22T16:02:19,340702,311908,28794,501919,era_c_xml,header,https://www.sfelections.org/results/20210914/data/20210922/summary.xml
2021-09-14,California Gubernatorial Recall Election,12,20211001,2021-10-01T16:00:39,341040,312204,28836,501919,era_c_xml,header,https://www.sfelections.org/results/20210914/data/20211001/summary.xml
2021-09-14,California Gubernatorial Recall Election,13,20211005,2021-10-05T15:38:45,341055,312219,28836,501919,era_c_xml,header,https://www.sfelections.org/results/20210914/data/20211005/summary.xml
2022-02-15,Consolidated Special Municipal Election,1,20220215_1,2022-02-15T20:35:07,119718,119718,0,499771,era_c_xml,header,https://www.sfelections.org/results/20220215/data/20220215_1/summary.xml
2022-02-15,Consolidated Special Municipal Election,2,20220215_2,2022-02-15T21:43:44,128826,119718,9108,499771,era_c_xml,header,https://www.sfelections.org/results/20220215/data/20220215_2/summary.xml
2022-02-15,Consolidated Special Municipal Election,3,20220215_3,2022-02-15T22:37:11,130302,119718,10584,499771,era_c_xml,header,https://www.sfelections.org/results/20220215/data/20220215_3/summary.xml
2022-02-15,Consolidated Special Municipal Election,4,20220217,2022-02-17T16:01:11,149377,138793,10584,499771,era_c_xml,header,https://www.sfelections.org/results/20220215/data/20220217/summary.xml
2022-02-15,Consolidated Special Municipal Election,5,20220218,2022-02-18T15:48:46,174528,163944,10584,499771,era_c_xml,header,https://www.sfelections.org/results/20220215/data/20220218/summary.xml
2022-02-15,Consolidated Special Municipal Election,6,20220219,2022-02-19T15:08:44,179429,167596,11833,499771,era_c_xml,header,https://www.sfelections.org/results/20220215/data/20220219/summary.xml
2022-02-15,Consolidated Special Municipal Election,7,20220222,2022-02-22T15:46:53,179752,167919,11833,499771,era_c_xml,header,https://www.sfelections.org/results/20220215/data/20220222/summary.xml
2022-02-15,Consolidated Special Municipal Election,8,20220223,2022-02-23T15:58:17,179981,168069,11912,499771,era_c_xml,header,https://www.sfelections.org/results/20220215/data/20220223/summary.xml
