election_date,kind,sample_date,eligible,registered_cor,registered_ror,e_day,vbm,total,eligible_source,registered_cor_source,registered_ror_source,e_day_source,vbm_source,confidence
1981-11-03,Municipal,,,395213,,88783,10875,99658,,archival recovery (per-release; see sources.json),,SF Dept. of Elections turnout history (1960–2002),SF Dept. of Elections turnout history (1960–2002),
1982-06-08,Primary,1982-06-08,485951,344483,344483,156646,19735,176381,Statement of Vote — participation table (https://archive.org/details/statementofvote81982cali),archival recovery (per-release; see sources.json),Statement of Vote — participation table (https://archive.org/details/statementofvote81982cali),SF Dept. of Elections turnout history (1960–2002),SF Dept. of Elections turnout history (1960–2002),high
1982-11-02,General,,,377069,,211195,27796,238991,,archival recovery (per-release; see sources.json),,SF Dept. of Elections turnout history (1960–2002),SF Dept. of Elections turnout history (1960–2002),
1983-04-26,Recall,,,354104,,107973,59294,167267,,archival recovery (per-release; see sources.json),,SF Dept. of Elections turnout history (1960–2002),SF Dept. of Elections turnout history (1960–2002),
1983-11-08,Municipal,,,371005,,141198,29430,170628,,archival recovery (per-release; see sources.json),,SF Dept. of Elections turnout history (1960–2002),SF Dept. of Elections turnout history (1960–2002),
1984-06-05,Primary,,,375799,,151013,29728,180741,,SF Dept. of Elections historical turnout table (1899–2019),,SF Dept. of Elections turnout history (1960–2002),SF Dept. of Elections turnout history (1960–2002),
1984-11-06,General,1984-11-06,484645,424091,424091,253931,44586,298517,Statement of Vote — participation table (https://archive.org/details/statementofvote61984cali),archival recovery (per-release; see sources.json),Statement of Vote — participation table (https://archive.org/details/statementofvote61984cali),SF Dept. of Elections turnout history (1960–2002),SF Dept. of Elections turnout history (1960–2002),high
1985-11-05,Municipal,,,399422,,84547,23373,107920,,archival recovery (per-release; see sources.json),,SF Dept. of Elections turnout history (1960–2002),SF Dept. of Elections turnout history (1960–2002),
1986-06-03,Primary,,,369468,,125143,21337,146480,,archival recovery (per-release; see sources.json),,SF Dept. of Elections turnout history (1960–2002),SF Dept. of Elections turnout history (1960–2002),
1986-11-04,General,1986-11-04,496427,385847,385847,202055,34808,236863,Statement of Vote — participation table (https://archive.org/details/statementofvote41986cali),archival recovery (per-release; see sources.json),Statement of Vote — participation table (https://archive.org/details/statementofvote41986cali),SF Dept. of Elections turnout history (1960–2002),SF Dept. of Elections turnout history (1960–2002),high
1987-04-07,Special,,,280811,,80547,30976,111523,,archival recovery (per-release; see sources.json),,SF Dept. of Elections turnout history (1960–2002),SF Dept. of Elections turnout history (1960–2002),
1987-06-02,Special,,,363356,,57889,35121,93010,,archival recovery (per-release; see sources.json),,SF Dept. of Elections turnout history (1960–2002),SF Dept. of Elections turnout history (1960–2002),
1987-11-03,Municipal,,,378546,,156480,37262,193742,,archival recovery (per-release; see sources.json),,SF Dept. of Elections turnout history (1960–2002),SF Dept. of Elections turnout history (1960–2002),
1987-12-08,Municipal,,,380852,,113400,40320,153720,,archival recovery (per-release; see sources.json),,SF Dept. of Elections turnout history (1960–2002),SF Dept. of Elections turnout history (1960–2002),
1988-06-07,Primary,,,383675,,156474,28946,185420,,archival recovery (per-release; see sources.json),,SF Dept. of Elections turnout history (1960–2002),SF Dept. of Elections turnout history (1960–2002),
1988-11-08,General,1988-11-08,554796,435536,435545,208546,83551,292097,Statement of Vote — participation table (https://archive.org/details/statementofvote81988cali),archival recovery (per-release; see sources.json),Statement of Vote — participation table (https://archive.org/details/statementofvote81988cali),SF Dept. of Elections turnout history (1960–2002),SF Dept. of Elections turnout history (1960–2002),medium
1989-11-07,Municipal,,,405536,,144657,37205,181862,,archival recovery (per-release; see sources.json),,SF Dept. of Elections turnout history (1960–2002),SF Dept. of Elections turnout history (1960–2002),
1990-06-05,Primary,,,389552,,122026,39963,161989,,archival recovery (per-release; see sources.json),,SF Dept. of Elections turnout history (1960–2002),SF Dept. of Elections turnout history (1960–2002),
1990-11-06,General,1990-11-06,484956,409163,409334,181425,54988,236413,Statement of Vote — participation table (https://archive.org/details/statementofvote61990cali),archival recovery (per-release; see sources.json),Statement of Vote — participation table (https://archive.org/details/statementofvote61990cali),SF Dept. of Elections turnout history (1960–2002),SF Dept. of Elections turnout history (1960–2002),high
1991-11-05,Municipal,,,421919,,156090,44785,200875,,archival recovery (per-release; see sources.json),,SF Dept. of Elections turnout history (1960–2002),SF Dept. of Elections turnout history (1960–2002),
1991-12-10,Municipal,,,425316,,143839,71912,215751,,archival recovery (per-release; see sources.json),,SF Dept. of Elections turnout history (1960–2002),SF Dept. of Elections turnout history (1960–2002),
1992-06-02,Primary,1992-06-02,478079,432838,432867,143468,39109,182577,Statement of Vote — participation table (https://archive.org/details/statementofvote21992cali),archival recovery (per-release; see sources.json),Statement of Vote — participation table (https://archive.org/details/statementofvote21992cali),SF Dept. of Elections turnout history (1960–2002),SF Dept. of Elections turnout history (1960–2002),medium
1992-11-03,General,,,477726,,255071,74624,329695,,archival recovery (per-release; see sources.json),,SF Dept. of Elections turnout history (1960–2002),SF Dept. of Elections turnout history (1960–2002),
1993-06-15,Special,,,421635,,50131,34655,84786,,archival recovery (per-release; see sources.json),,SF Dept. of Elections turnout history (1960–2002),SF Dept. of Elections turnout history (1960–2002),
1993-11-02,Municipal,,,425034,,113377,44769,158146,,archival recovery (per-release; see sources.json),,SF Dept. of Elections turnout history (1960–2002),SF Dept. of Elections turnout history (1960–2002),
1994-06-07,Primary,,,422776,,98564,36931,135495,,archival recovery (per-release; see sources.json),,SF Dept. of Elections turnout history (1960–2002),SF Dept. of Elections turnout history (1960–2002),
1994-11-08,General,1994-11-08,467029,450649,450649,175502,74167,249669,Statement of Vote — participation table (https://archive.org/details/statementofvote81994cali),archival recovery (per-release; see sources.json),Statement of Vote — participation table (https://archive.org/details/statementofvote81994cali),SF Dept. of Elections turnout history (1960–2002),SF Dept. of Elections turnout history (1960–2002),low
1995-11-07,Municipal,,,417883,,152017,64718,216735,,archival recovery (per-release; see sources.json),,SF Dept. of Elections turnout history (1960–2002),SF Dept. of Elections turnout history (1960–2002),
1995-12-12,Municipal,,,425969,,130573,67753,198326,,archival recovery (per-release; see sources.json),,SF Dept. of Elections turnout history (1960–2002),SF Dept. of Elections turnout history (1960–2002),
1996-03-26,Primary,,,440254,,126643,51522,178165,,archival recovery (per-release; see sources.json),,SF Dept. of Elections turnout history (1960–2002),SF Dept. of Elections turnout history (1960–2002),
1996-11-05,General,1996-10-25,479127,481902,482541,223339,75309,298648,Statement of Vote — participation table (https://infoweb-newsbank-com.ezproxy.sfpl.org/apps/news/document-view?p=WORLDNEWS&docref=news/1063FBAA6480CFD4),archival recovery (per-release; see sources.json),Statement of Vote — participation table (https://infoweb-newsbank-com.ezproxy.sfpl.org/apps/news/document-view?p=WORLDNEWS&docref=news/1063FBAA6480CFD4),SF Dept. of Elections turnout history (1960–2002),SF Dept. of Elections turnout history (1960–2002),low
1997-06-03,Special,,,411230,,129156,49792,178948,,archival recovery (per-release; see sources.json),,SF Dept. of Elections turnout history (1960–2002),SF Dept. of Elections turnout history (1960–2002),
1997-11-04,Municipal,,,413355,,87352,38345,125697,,archival recovery (per-release; see sources.json),,SF Dept. of Elections turnout history (1960–2002),SF Dept. of Elections turnout history (1960–2002),
1998-06-02,Primary,,,430794,,137812,61345,199157,,archival recovery (per-release; see sources.json),,SF Dept. of Elections turnout history (1960–2002),SF Dept. of Elections turnout history (1960–2002),
1998-11-03,General,,,448888,,183839,66880,250719,,archival recovery (per-release; see sources.json),,SF Dept. of Elections turnout history (1960–2002),SF Dept. of Elections turnout history (1960–2002),
1999-11-02,Municipal,,,453151,,151447,52227,203674,,archival recovery (per-release; see sources.json),,SF Dept. of Elections turnout history (1960–2002),SF Dept. of Elections turnout history (1960–2002),
1999-12-14,Municipal,,,467295,,154357,73890,228247,,archival recovery (per-release; see sources.json),,SF Dept. of Elections turnout history (1960–2002),SF Dept. of Elections turnout history (1960–2002),
2000-03-07,Primary,,,468198,,155955,54274,210229,,archival recovery (per-release; see sources.json),,SF Dept. of Elections turnout history (1960–2002),SF Dept. of Elections turnout history (1960–2002),
2000-11-07,General,,,486636,,241234,82797,324031,,archival recovery (per-release; see sources.json),,SF Dept. of Elections turnout history (1960–2002),SF Dept. of Elections turnout history (1960–2002),
2000-12-12,Municipal,,,398234,,81670,47959,129629,,archival recovery (per-release; see sources.json),,SF Dept. of Elections turnout history (1960–2002),SF Dept. of Elections turnout history (1960–2002),
2001-11-06,Municipal,,,452543,,96876,37148,134024,,archival recovery (per-release; see sources.json),,SF Dept. of Elections turnout history (1960–2002),SF Dept. of Elections turnout history (1960–2002),
2001-12-11,Municipal,,,453961,,44294,30973,75267,,archival recovery (per-release; see sources.json),,SF Dept. of Elections historical turnout table (1899–2019),SF Dept. of Elections historical turnout table (1899–2019),
