election_date,kind,sample_date,eligible,registered_cor,registered_ror,e_day,vbm,total,eligible_source,registered_cor_source,registered_ror_source,e_day_source,vbm_source,confidence
2018-11-06,General,2018-10-22,660296,500516,500051,127886,244962,372848,CA Secretary of State — Report of Registration (https://elections.cdn.sos.ca.gov/ror/15day-gen-2018/county.pdf),SF Dept. of Elections certified results,CA Secretary of State — Report of Registration (https://elections.cdn.sos.ca.gov/ror/15day-gen-2018/county.pdf),SF Dept. of Elections certified results release (https://www.sfelections.org/results/20181106/data/20181126/summary.txt),SF Dept. of Elections certified results release (https://www.sfelections.org/results/20181106/data/20181126/summary.txt),
2019-11-05,Municipal,,,495050,,59428,146662,206090,,SF Dept. of Elections certified results,,SF Dept. of Elections certified results release (https://www.sfelections.org/results/20191105/data/20191114/summary.xml),SF Dept. of Elections certified results release (https://www.sfelections.org/results/20191105/data/20191114/summary.xml),
2020-03-03,Primary,2020-02-18,656600,503899,505246,107184,198000,305184,CA Secretary of State — Report of Registration (https://elections.cdn.sos.ca.gov/ror/15day-presprim-2020/county.pdf),SF Dept. of Elections certified results,CA Secretary of State — Report of Registration (https://elections.cdn.sos.ca.gov/ror/15day-presprim-2020/county.pdf),SF Dept. of Elections certified results release (https://www.sfelections.org/results/20200303/data/20200326/summary.xml),SF Dept. of Elections certified results release (https://www.sfelections.org/results/20200303/data/20200326/summary.xml),
2020-11-03,General,2020-10-19,668567,521099,521771,38455,411411,449866,CA Secretary of State — Report of Registration (https://elections.cdn.sos.ca.gov/ror/15day-gen-2020/county.pdf),SF Dept. of Elections certified results,CA Secretary of State — Report of Registration (https://elections.cdn.sos.ca.gov/ror/15day-gen-2020/county.pdf),SF Dept. of Elections certified results release (https://www.sfelections.org/results/20201103/data/20201201/summary.xml),SF Dept. of Elections certified results release (https://www.sfelections.org/results/20201103/data/20201201/summary.xml),
2021-09-14,Recall,2021-08-30,641338,501919,503841,28836,312219,341055,CA Secretary of State — Report of Registration (https://elections.cdn.sos.ca.gov/ror/15day-recall-2021/county.pdf),SF Dept. of Elections certified results,CA Secretary of State — Report of Registration (https://elections.cdn.sos.ca.gov/ror/15day-recall-2021/county.pdf),SF Dept. of Elections certified results release (https://www.sfelections.org/results/20210914/data/20211005/summary.xml),SF Dept. of Elections certified results release (https://www.sfelections.org/results/20210914/data/20211005/summary.xml),
2022-02-15,Special,,,499771,,11912,168069,179981,,SF Dept. of Elections certified results,,SF Dept. of Elections certified results release (https://www.sfelections.org/results/20220215/data/20220223/summary.xml),SF Dept. of Elections certified results release (https://www.sfelections.org/results/20220215/data/20220223/summary.xml),
2022-04-19,Special,,,268722,,3715,75049,78764,,SF Dept. of Elections certified results,,SF Dept. of Elections certified results release (https://www.sfelections.org/results/20220419/data/20220427/summary.xml),SF Dept. of Elections certified results release (https://www.sfelections.org/results/20220419/data/20220427/summary.xml),
2022-06-07,Primary,2022-05-23,662363,495498,496649,22180,207049,229229,CA Secretary of State — Report of Registration (https://elections.cdn.sos.ca.gov/ror/15day-primary-2022/county.pdf),SF Dept. of Elections certified results,CA Secretary of State — Report of Registration (https://elections.cdn.sos.ca.gov/ror/15day-primary-2022/county.pdf),SF Dept. of Elections certified results release (https://www.sfelections.org/results/20220607/data/20220621/summary.xml),SF Dept. of Elections certified results release (https://www.sfelections.org/results/20220607/data/20220621/summary.xml),
2022-11-08,General,2022-10-24,660132,497561,498197,35595,274476,310071,CA Secretary of State — Report of Registration (https://elections.cdn.sos.ca.gov/ror/15day-general-2022/county.pdf),SF Dept. of Elections certified results,CA Secretary of State — Report of Registration (https://elections.cdn.sos.ca.gov/ror/15day-general-2022/county.pdf),SF Dept. of Elections certified results release (https://www.sfelections.org/results/20221108/data/20221129/summary.xml),SF Dept. of Elections certified results release (https://www.sfelections.org/results/20221108/data/20221129/summary.xml),
2024-03-05,Primary,2024-02-20,649207,500856,501463,27929,205536,233465,CA Secretary of State — Report of Registration (https://elections.cdn.sos.ca.gov/ror/15day-presprim-2024/county.pdf),SF Dept. of Elections certified results,CA Secretary of State — Report of Registration (https://elections.cdn.sos.ca.gov/ror/15day-presprim-2024/county.pdf),SF Dept. of Elections certified results release (https://www.sfelections.org/results/20240305/data/20240321/summary.xml),SF Dept. of Elections certified results release (https://www.sfelections.org/results/20240305/data/20240321/summary.xml),
2024-11-05,General,2024-10-21,663453,522265,520203,58688,353543,412231,CA Secretary of State — Report of Registration (https://elections.cdn.sos.ca.gov/ror/15day-gen-2024/county.pdf),SF Dept. of Elections certified results,CA Secretary of State — Report of Registration (https://elections.cdn.sos.ca.gov/ror/15day-gen-2024/county.pdf),SF Dept. of Elections certified results release (https://www.sfelections.org/results/20241105/data/20241203/summary.xml),SF Dept. of Elections certified results release (https://www.sfelections.org/results/20241105/data/20241203/summary.xml),
2025-09-16,Recall,,,50273,,1170,20372,21542,,SF Dept. of Elections certified results,,SF Dept. of Elections certified results release (https://www.sfelections.org/results/20250916/data/20250925/summary.xml),SF Dept. of Elections certified results release (https://www.sfelections.org/results/20250916/data/20250925/summary.xml),
2025-11-04,Special,2025-10-20,660000,531310,532195,28328,266904,295232,CA Secretary of State — Report of Registration (https://elections.cdn.sos.ca.gov/ror/15day-special-2025/county.pdf),SF Dept. of Elections certified results,CA Secretary of State — Report of Registration (https://elections.cdn.sos.ca.gov/ror/15day-special-2025/county.pdf),SF Dept. of Elections certified results release (https://www.sfelections.org/results/20251104/data/20251203/summary.xml),SF Dept. of Elections certified results release (https://www.sfelections.org/results/20251104/data/20251203/summary.xml),
2026-06-02,Primary,2026-05-18,658495,533546,533629,24269,235019,259288,CA Secretary of State — Report of Registration (https://elections.cdn.sos.ca.gov/ror/15day-primary-2026/county.pdf),SF Dept. of Elections certified results,CA Secretary of State — Report of Registration (https://elections.cdn.sos.ca.gov/ror/15day-primary-2026/county.pdf),SF Dept. of Elections certified results release (https://www.sfelections.org/results/20260602/data/20260609/summary.xml),SF Dept. of Elections certified results release (https://www.sfelections.org/results/20260602/data/20260609/summary.xml),
