election_date,registration,ballots_cast,source
1879-09-03,44765,41575,"SF Municipal Reports FY1888-89 (Registrar of Voters master table, p.856; archive.org sanfranciscomuni39sanfrich) — Sept 3 1879 general, 136 precincts: registration 44,765, total vote 41,575"
1880-11-02,43775,41292,"SF Municipal Reports FY1888-89 (Registrar master table, p.856) — Nov 2 1880 presidential general, 152 precincts: registration 43,775, total vote 41,292"
1882-11-07,42135,39102,"SF Municipal Reports FY1888-89 (Registrar master table, p.856) — Nov 7 1882 general: registration 42,135, total vote 39,102"
1884-11-04,50542,47535,"SF Municipal Reports FY1888-89 (Registrar master table, p.856) — Nov 4 1884 presidential general: registration 50,542, total vote 47,535"
1886-11-02,48792,45716,"SF Municipal Reports FY1888-89 (Registrar master table, p.856) — Nov 2 1886 general: registration 48,792, total vote 45,716"
1888-11-06,58549,55313,"SF Municipal Reports FY1888-89 (Registrar master table, p.856) — Nov 6 1888 presidential general: registration 58,549, total vote 55,313"
1890-11-04,59712,55317,"Registration: 1890 SF Great Register (CA Genealogical Society) 59,712. Ballots: certified SF Governor contest 55,317 (Pond 27,429+Markham 27,218+Bidwell 619+scat 51) as a turnout FLOOR — registrar master table ends 1888; true total vote slightly higher. SOV/Blue Book 1891 p.88"
