county_slug,election_date,election_type,ballots_mail,ballots_polling,ballots_total,vbm_share_pct,source_url,source_page_or_table,note
madera,2012-06-05,primary,14884,5654,20538,72.47,https://elections.cdn.sos.ca.gov/sov/2012-primary/pdf/03-voter-reg-stats-by-county.pdf,VOTER PARTICIPATION STATISTICS BY COUNTY,
napa,2012-06-05,primary,26689,2616,29305,91.07,https://elections.cdn.sos.ca.gov/sov/2012-primary/pdf/03-voter-reg-stats-by-county.pdf,VOTER PARTICIPATION STATISTICS BY COUNTY,
nevada,2012-06-05,primary,24925,6408,31333,79.55,https://elections.cdn.sos.ca.gov/sov/2012-primary/pdf/03-voter-reg-stats-by-county.pdf,VOTER PARTICIPATION STATISTICS BY COUNTY,
orange,2012-06-05,primary,281395,145474,426869,65.92,https://elections.cdn.sos.ca.gov/sov/2012-primary/pdf/03-voter-reg-stats-by-county.pdf,VOTER PARTICIPATION STATISTICS BY COUNTY,
placer,2012-06-05,primary,67743,21276,89019,76.1,https://elections.cdn.sos.ca.gov/sov/2012-primary/pdf/03-voter-reg-stats-by-county.pdf,VOTER PARTICIPATION STATISTICS BY COUNTY,
riverside,2012-06-05,primary,168107,70045,238152,70.59,https://elections.cdn.sos.ca.gov/sov/2012-primary/pdf/03-voter-reg-stats-by-county.pdf,VOTER PARTICIPATION STATISTICS BY COUNTY,
sacramento,2012-06-05,primary,161103,71640,232743,69.22,https://elections.cdn.sos.ca.gov/sov/2012-primary/pdf/03-voter-reg-stats-by-county.pdf,VOTER PARTICIPATION STATISTICS BY COUNTY,
san_bernardino,2012-06-05,primary,122984,70533,193517,63.55,https://elections.cdn.sos.ca.gov/sov/2012-primary/pdf/03-voter-reg-stats-by-county.pdf,VOTER PARTICIPATION STATISTICS BY COUNTY,
san_diego,2012-06-05,primary,360520,187942,548462,65.73,https://elections.cdn.sos.ca.gov/sov/2012-primary/pdf/03-voter-reg-stats-by-county.pdf,VOTER PARTICIPATION STATISTICS BY COUNTY,
san_mateo,2012-06-05,primary,89537,33793,123330,72.6,https://elections.cdn.sos.ca.gov/sov/2012-primary/pdf/03-voter-reg-stats-by-county.pdf,VOTER PARTICIPATION STATISTICS BY COUNTY,
santa_clara,2012-06-05,primary,237195,55518,292713,81.03,https://elections.cdn.sos.ca.gov/sov/2012-primary/pdf/03-voter-reg-stats-by-county.pdf,VOTER PARTICIPATION STATISTICS BY COUNTY,
san_francisco,2014-11-04,general,136219,94995,231214,58.91,https://elections.cdn.sos.ca.gov/sov/2014-general/pdf/03-voter-particpiation-stats-by-county.pdf,VOTER PARTICIPATION STATISTICS BY COUNTY,
lake,2014-11-04,general,12044,6017,18061,66.69,https://elections.cdn.sos.ca.gov/sov/2014-general/pdf/03-voter-particpiation-stats-by-county.pdf,VOTER PARTICIPATION STATISTICS BY COUNTY,
del_norte,2014-11-04,general,4352,2980,7332,59.36,https://elections.cdn.sos.ca.gov/sov/2014-general/pdf/03-voter-particpiation-stats-by-county.pdf,VOTER PARTICIPATION STATISTICS BY COUNTY,
mendocino,2014-11-04,general,20640,4377,25017,82.5,https://elections.cdn.sos.ca.gov/sov/2014-general/pdf/03-voter-particpiation-stats-by-county.pdf,VOTER PARTICIPATION STATISTICS BY COUNTY,
tehama,2014-11-04,general,11264,4527,15791,71.33,https://elections.cdn.sos.ca.gov/sov/2014-general/pdf/03-voter-particpiation-stats-by-county.pdf,VOTER PARTICIPATION STATISTICS BY COUNTY,
colusa,2014-11-04,general,2660,1762,4422,60.15,https://elections.cdn.sos.ca.gov/sov/2014-general/pdf/03-voter-particpiation-stats-by-county.pdf,VOTER PARTICIPATION STATISTICS BY COUNTY,
fresno,2014-11-04,general,98519,64901,163420,60.29,https://elections.cdn.sos.ca.gov/sov/2014-general/pdf/03-voter-particpiation-stats-by-county.pdf,VOTER PARTICIPATION STATISTICS BY COUNTY,
los_angeles,2014-11-04,general,577023,941812,1518835,37.99,https://elections.cdn.sos.ca.gov/sov/2014-general/pdf/03-voter-particpiation-stats-by-county.pdf,VOTER PARTICIPATION STATISTICS BY COUNTY,
madera,2014-11-04,general,18400,8970,27370,67.23,https://elections.cdn.sos.ca.gov/sov/2014-general/pdf/03-voter-particpiation-stats-by-county.pdf,VOTER PARTICIPATION STATISTICS BY COUNTY,
napa,2014-11-04,general,36369,2397,38766,93.82,https://elections.cdn.sos.ca.gov/sov/2014-general/pdf/03-voter-particpiation-stats-by-county.pdf,VOTER PARTICIPATION STATISTICS BY COUNTY,
nevada,2014-11-04,general,30246,9383,39629,76.32,https://elections.cdn.sos.ca.gov/sov/2014-general/pdf/03-voter-particpiation-stats-by-county.pdf,VOTER PARTICIPATION STATISTICS BY COUNTY,
orange,2014-11-04,general,387886,252472,640358,60.57,https://elections.cdn.sos.ca.gov/sov/2014-general/pdf/03-voter-particpiation-stats-by-county.pdf,VOTER PARTICIPATION STATISTICS BY COUNTY,
placer,2014-11-04,general,84001,31546,115547,72.7,https://elections.cdn.sos.ca.gov/sov/2014-general/pdf/03-voter-particpiation-stats-by-county.pdf,VOTER PARTICIPATION STATISTICS BY COUNTY,
riverside,2014-11-04,general,232935,124829,357764,65.11,https://elections.cdn.sos.ca.gov/sov/2014-general/pdf/03-voter-particpiation-stats-by-county.pdf,VOTER PARTICIPATION STATISTICS BY COUNTY,
