election_date,election_name,report_seq,snapshot,report_datetime,ballots_counted_total,ballots_vbm,ballots_election_day,registered_voters,parser,source_url
2025-11-04,Statewide Special Election,2,20251104_2,2025-11-04T23:10:10,196007,174760,21247,531310,era_c,https://www.sfelections.org/results/20251104/data/20251104_2/summary.pdf
2025-11-04,Statewide Special Election,3,20251106,2025-11-06T15:07:44,209091,187844,21247,531310,era_c,https://www.sfelections.org/results/20251104/data/20251106/summary.pdf
2025-11-04,Statewide Special Election,4,20251110,2025-11-10T15:17:26,265344,244097,21247,531310,era_c,https://www.sfelections.org/results/20251104/data/20251110/summary.pdf
2025-11-04,Statewide Special Election,5,20251117,2025-11-17T15:00:25,291968,266287,25681,531310,era_c,https://www.sfelections.org/results/20251104/data/20251117/summary.pdf
2025-11-04,Statewide Special Election,6,20251124,2025-11-24T15:04:57,294941,266619,28322,531310,era_c,https://www.sfelections.org/results/20251104/data/20251124/summary.pdf
2025-11-04,Statewide Special Election,7,20251203,2025-12-03T14:09:47,295232,266904,28328,531310,era_c,https://www.sfelections.org/results/20251104/data/20251203/summary.pdf
2026-06-02,Consolidated Statewide Direct Primary Election,1,20260602_1,2026-06-02T19:31:20,100817,100817,0,533546,era_c,https://www.sfelections.org/results/20260602/data/20260602_1/summary.pdf
2026-06-02,Consolidated Statewide Direct Primary Election,2,20260602_2,2026-06-02T21:32:00,108513,100817,7696,533546,era_c,https://www.sfelections.org/results/20260602/data/20260602_2/summary.pdf
2026-06-02,Consolidated Statewide Direct Primary Election,3,20260602_3,2026-06-02T22:24:07,124971,100817,24154,533546,era_c,https://www.sfelections.org/results/20260602/data/20260602_3/summary.pdf
2026-06-02,Consolidated Statewide Direct Primary Election,4,20260602_4,2026-06-02T23:47:09,125086,100817,24269,533546,era_c,https://www.sfelections.org/results/20260602/data/20260602_4/summary.pdf
2026-06-02,Consolidated Statewide Direct Primary Election,5,20260604,2026-06-04T14:05:30,140315,116046,24269,533546,era_c,https://www.sfelections.org/results/20260602/data/20260604/summary.pdf
2026-06-02,Consolidated Statewide Direct Primary Election,6,20260605,2026-06-05T14:07:02,176467,152198,24269,533546,era_c,https://www.sfelections.org/results/20260602/data/20260605/summary.pdf
2026-06-02,Consolidated Statewide Direct Primary Election,7,20260608,2026-06-08T14:21:40,222980,198711,24269,533546,era_c,https://www.sfelections.org/results/20260602/data/20260608/summary.pdf
